Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1312.0 NA 164 309 0 NA NA 622 825 0 NA NA 1568 2036 543 NA NA 1527 2361 724 NA
1566079200.0 1313.0 NA 166 321 0 NA NA 588 789 0 NA NA 1460 2203 520 NA NA 1180 2563 659 NA
1566079200.0 1314.0 NA 163 309 0 NA NA 631 797 0 NA NA 1463 1972 522 NA NA 1834 2409 621 NA
1566079200.0 1315.0 NA 154 296 0 NA NA 639 814 0 NA NA 1417 1783 505 NA NA 1212 2039 856 NA
1566079200.0 1316.0 NA 154 299 0 NA NA 620 757 0 NA NA 1405 1816 505 NA NA 985 2168 761 NA
1566079200.0 1317.0 NA 156 297 0 NA NA 583 812 0 NA NA 1504 1803 500 NA NA 1518 2073 647 NA
1566079200.0 1318.0 NA 154 302 0 NA NA 586 763 0 NA NA 1395 1810 502 NA NA 1322 2523 602 NA
1566079200.0 1319.0 NA 155 295 0 NA NA 559 754 0 NA NA 1392 1832 504 NA NA 1722 4035 735 NA
1566079200.0 132.0 78 108 267 NA NA 283 562 753 NA NA 2721 566 1926 NA NA 1585 889 2597 NA NA
1566079200.0 1320.0 NA 156 301 0 NA NA 546 755 0 NA NA 1452 1814 506 NA NA 1412 1966 680 NA
1566079200.0 1321.0 NA 155 299 0 NA NA 628 739 0 NA NA 1438 1821 500 NA NA 1189 1947 823 NA
1566079200.0 1323.0 NA 153 281 0 NA NA 561 756 0 NA NA 1433 1761 496 NA NA 928 2583 669 NA
1566079200.0 1324.0 NA 164 310 0 NA NA 584 782 0 NA NA 1480 1983 526 NA NA 1244 2883 720 NA
1566079200.0 1325.1 NA 164 156 0 NA NA 559 361 0 NA NA 1543 698 316 NA NA 1296 789 519 NA
1566079200.0 1325.2 NA 165 308 0 NA NA 625 763 0 NA NA 1478 2005 527 NA NA 1392 2021 684 NA
1566079200.0 1325.3 NA 164 147 0 NA NA 551 377 0 NA NA 1539 702 307 NA NA 1312 1615 661 NA
1566079200.0 1325.4 NA 165 306 0 NA NA 608 762 0 NA NA 1492 2005 525 NA NA 1515 2048 670 NA
1566079200.0 1325.5 NA 163 0 NA NA NA 376 0 NA NA NA 4462 164 NA NA NA 5643 606 NA NA
