Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566162000.0 134.807 NA 141 392 0 NA NA NA NA 297 901 0 NA NA NA NA 1263 8543 857 NA NA NA NA 1132 4102 1038 NA NA NA
1566162000.0 134.813 NA 143 62 0 NA NA NA NA 383 209 0 NA NA NA NA 1102 271 315 NA NA NA NA 1682 1363 721 NA NA NA
1566162000.0 134.903 NA 40 342 0 NA NA NA NA 175 716 0 NA NA NA NA 262 5689 746 NA NA NA NA 382 3472 1002 NA NA NA
1566162000.0 1343.0 NA 180 339 0 NA NA NA NA 583 748 0 NA NA NA NA 1038 2100 543 NA NA NA NA 1286 2756 677 NA NA NA
1566162000.0 1345.0 NA 183 330 0 NA NA NA NA 651 766 0 NA NA NA NA 1585 1961 536 NA NA NA NA 1186 2271 821 NA NA NA
1566162000.0 135.1 356 0 129 NA NA NA NA 997 0 315 NA NA NA NA 1557 292 756 NA NA NA NA 1547 415 950 NA NA NA NA
1566162000.0 135.11 351 0 138 NA NA NA NA 996 0 319 NA NA NA NA 2197 296 841 NA NA NA NA 2355 409 959 NA NA NA NA
1566162000.0 135.12 335 0 129 NA NA NA NA 955 0 301 NA NA NA NA 1633 280 615 NA NA NA NA 2393 559 848 NA NA NA NA
1566162000.0 135.13 322 0 NA NA NA NA NA 958 0 NA NA NA NA NA 1502 326 NA NA NA NA NA 1508 545 NA NA NA NA NA
1566162000.0 135.2 271 0 126 NA NA NA NA 892 0 299 NA NA NA NA 1595 279 671 NA NA NA NA 2260 443 1277 NA NA NA NA
1566162000.0 135.3 274 0 134 NA NA NA NA 939 0 302 NA NA NA NA 1422 285 627 NA NA NA NA 2029 992 835 NA NA NA NA
1566162000.0 135.4 315 0 128 NA NA NA NA 944 0 298 NA NA NA NA 1656 272 619 NA NA NA NA 2596 533 799 NA NA NA NA
1566162000.0 135.5 345 0 136 NA NA NA NA 1004 0 309 NA NA NA NA 1500 306 637 NA NA NA NA 1711 888 790 NA NA NA NA
1566162000.0 135.6 317 0 137 NA NA NA NA 954 0 307 NA NA NA NA 1749 275 668 NA NA NA NA 2339 701 1605 NA NA NA NA
1566162000.0 135.7 338 0 134 NA NA NA NA 998 0 312 NA NA NA NA 1831 284 657 NA NA NA NA 1805 649 815 NA NA NA NA
1566162000.0 135.8 142 NA NA NA NA NA NA 342 NA NA NA NA NA NA 527 NA NA NA NA NA NA 1286 NA NA NA NA NA NA
1566162000.0 135.9 353 0 128 NA NA NA NA 952 0 306 NA NA NA NA 1465 281 674 NA NA NA NA 1772 479 1487 NA NA NA NA
1566162000.0 1350.0 NA 171 317 0 NA NA NA NA 638 716 0 NA NA NA NA 1632 1916 521 NA NA NA NA 1357 2452 1590 NA NA NA
1566162000.0 1352.0 NA 176 310 0 NA NA NA NA 623 742 0 NA NA NA NA 1838 2043 580 NA NA NA NA 1432 3563 991 NA NA NA
1566162000.0 1353.0 NA 178 328 0 NA NA NA NA 572 773 0 NA NA NA NA 1655 1980 539 NA NA NA NA 954 2377 655 NA NA NA
1566162000.0 136.726 NA 89 341 0 NA NA NA NA 249 750 0 NA NA NA NA 544 8563 716 NA NA NA NA 858 4145 858 NA NA NA
1566162000.0 136.729 NA 91 342 0 NA NA NA NA 234 841 0 NA NA NA NA 581 8214 700 NA NA NA NA 1232 4255 820 NA NA NA
1566162000.0 136.733 NA 167 72 0 NA NA NA NA 401 211 0 NA NA NA NA 1076 395 293 NA NA NA NA 1954 866 521 NA NA NA
1566162000.0 136.734 NA 89 337 0 NA NA NA NA 238 801 0 NA NA NA NA 622 8380 719 NA NA NA NA 781 3836 919 NA NA NA
1566162000.0 136.739 NA 87 372 0 NA NA NA NA 239 881 0 NA NA NA NA 625 14805 706 NA NA NA NA 2143 5422 800 NA NA NA
1566162000.0 136.74 NA 91 382 0 NA NA NA NA 244 819 0 NA NA NA NA 582 13500 735 NA NA NA NA 626 6451 1672 NA NA NA
1566162000.0 136.741 NA 86 352 0 NA NA NA NA 241 817 0 NA NA NA NA 659 13037 727 NA NA NA NA 1088 5484 975 NA NA NA
1566162000.0 136.745 NA 90 369 0 NA NA NA NA 242 821 0 NA NA NA NA 536 9555 455 NA NA NA NA 1299 5046 659 NA NA NA
1566162000.0 136.746 NA 86 330 0 NA NA NA NA 238 755 0 NA NA NA NA 701 12390 750 NA NA NA NA 1088 5842 962 NA NA NA
1566162000.0 136.756 NA 91 371 0 NA NA NA NA 238 806 0 NA NA NA NA 544 8740 440 NA NA NA NA 714 3915 581 NA NA NA
1566162000.0 136.757 NA 89 348 0 NA NA NA NA 249 819 0 NA NA NA NA 725 11803 762 NA NA NA NA 1638 5172 949 NA NA NA
1566162000.0 136.7611 NA 195 0 NA NA NA NA NA 427 0 NA NA NA NA NA 5136 155 NA NA NA NA NA 5885 279 NA NA NA NA
1566162000.0 136.762 NA 90 377 0 NA NA NA NA 246 849 0 NA NA NA NA 714 22458 783 NA NA NA NA 731 8572 865 NA NA NA
1566162000.0 136.766 NA 95 398 0 NA NA NA NA 237 830 0 NA NA NA NA 615 17529 729 NA NA NA NA 827 6229 1101 NA NA NA
1566162000.0 136.7721 NA 183 0 NA NA NA NA NA 422 0 NA NA NA NA NA 4798 163 NA NA NA NA NA 5691 325 NA NA NA NA
1566162000.0 136.7722 NA 167 0 NA NA NA NA NA 366 0 NA NA NA NA NA 5049 147 NA NA NA NA NA 6339 292 NA NA NA NA
1566162000.0 136.776 NA 89 363 0 NA NA NA NA 247 764 0 NA NA NA NA 617 10615 697 NA NA NA NA 1084 4987 821 NA NA NA
1566162000.0 136.779 NA 88 347 0 NA NA NA NA 249 914 0 NA NA NA NA 724 11239 714 NA NA NA NA 1636 5144 958 NA NA NA
1566162000.0 136.7801 NA 105 0 NA NA NA NA NA 263 0 NA NA NA NA NA 488 295 NA NA NA NA NA 1415 730 NA NA NA NA
1566162000.0 136.7802 NA 73 0 NA NA NA NA NA 222 0 NA NA NA NA NA 362 195 NA NA NA NA NA 1795 1287 NA NA NA NA
1566162000.0 136.7803 NA 102 0 NA NA NA NA NA 285 0 NA NA NA NA NA 660 249 NA NA NA NA NA 2173 696 NA NA NA NA
1566162000.0 136.786 NA 118 391 0 NA NA NA NA 257 857 0 NA NA NA NA 551 17753 870 NA NA NA NA 806 6925 1346 NA NA NA
1566162000.0 136.79 NA 117 401 0 NA NA NA NA 276 845 0 NA NA NA NA 637 10479 830 NA NA NA NA 594 5077 961 NA NA NA
1566162000.0 136.7952 NA 183 0 NA NA NA NA NA 405 0 NA NA NA NA NA 3182 167 NA NA NA NA NA 2880 720 NA NA NA NA
1566162000.0 136.803 NA 115 321 0 NA NA NA NA 273 763 0 NA NA NA NA 616 3157 759 NA NA NA NA 915 3439 970 NA NA NA
1566162000.0 136.81 NA 109 396 0 NA NA NA NA 266 799 0 NA NA NA NA 584 14237 914 NA NA NA NA 1148 7077 1444 NA NA NA
1566162000.0 136.815 NA 119 327 0 NA NA NA NA 274 742 0 NA NA NA NA 597 3339 753 NA NA NA NA 1107 4401 1024 NA NA NA
1566162000.0 136.824 NA 105 436 0 NA NA NA NA 261 875 0 NA NA NA NA 665 23786 1012 NA NA NA NA 1454 9268 1199 NA NA NA
1566162000.0 136.827 NA 116 332 0 NA NA NA NA 275 758 0 NA NA NA NA 538 3412 763 NA NA NA NA 747 4624 901 NA NA NA
1566162000.0 136.829 NA 109 445 0 NA NA NA NA 263 947 0 NA NA NA NA 708 23351 955 NA NA NA NA 826 8531 1067 NA NA NA
1566162000.0 136.83 NA 111 455 0 NA NA NA NA 264 884 0 NA NA NA NA 785 23303 1203 NA NA NA NA 858 8728 1295 NA NA NA
1566162000.0 136.831 NA 106 423 0 NA NA NA NA 266 908 0 NA NA NA NA 695 23626 1003 NA NA NA NA 660 8172 1156 NA NA NA
