Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560848400.0 132.0 62 92 260 NA NA 117 126 319 NA NA 5538 875 4545 NA NA 6002 973 5140 NA NA
1560848400.0 1320.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 1321.0 NA 92 294 0 NA NA 174 353 0 NA NA 1136 3917 1643 NA NA 1617 4083 1709 NA
1560848400.0 1322.0 NA 95 296 0 NA NA 175 355 0 NA NA 1042 3415 1119 NA NA 1280 3538 1227 NA
1560848400.0 1323.0 NA 100 287 0 NA NA 172 346 0 NA NA 875 3202 1147 NA NA 1014 3355 1186 NA
1560848400.0 1324.0 NA 96 306 0 NA NA 178 361 0 NA NA 1171 3920 1177 NA NA 1250 4116 1292 NA
1560848400.0 1325.1 NA 100 149 0 NA NA 178 192 0 NA NA 908 1836 708 NA NA 990 2139 837 NA
1560848400.0 1325.2 NA 94 NA NA NA NA 172 NA NA NA NA 606 NA NA NA NA 1091 NA NA NA
1560848400.0 1325.3 NA 103 147 0 NA NA 178 187 0 NA NA 911 1799 634 NA NA 1015 2184 692 NA
1560848400.0 1325.4 NA 100 0 NA NA NA 178 0 NA NA NA 907 0 NA NA NA 1022 0 NA NA
1560848400.0 1325.5 NA 153 0 NA NA NA 239 0 NA NA NA 4991 317 NA NA NA 5287 347 NA NA
1560848400.0 1325.51 NA 145 0 NA NA NA 232 0 NA NA NA 3601 322 NA NA NA 4053 375 NA NA
1560848400.0 1325.6 NA 155 NA NA NA NA 265 NA NA NA NA 2191 NA NA NA NA 2713 NA NA NA
1560848400.0 1325.7 NA 200 0 NA NA NA 303 0 NA NA NA 7653 307 NA NA NA 7854 349 NA NA
1560848400.0 1325.8 NA 197 0 NA NA NA 302 0 NA NA NA 6540 388 NA NA NA 6680 520 NA NA
1560848400.0 1326.0 NA 89 NA NA NA NA 168 NA NA NA NA 558 NA NA NA NA 1025 NA NA NA
1560848400.0 1327.0 NA 100 299 0 NA NA 176 355 0 NA NA 1119 3346 1480 NA NA 1343 3474 1565 NA
1560848400.0 1328.0 NA 75 NA NA NA NA 155 NA NA NA NA 458 NA NA NA NA 778 NA NA NA
1560848400.0 1329.0 NA 98 300 0 NA NA 176 355 0 NA NA 1070 3627 1643 NA NA 1547 3788 1732 NA
1560848400.0 1329.1 NA 193 0 NA NA NA 290 0 NA NA NA 6358 364 NA NA NA 6509 425 NA NA
1560848400.0 133.0 65 89 268 NA NA 121 126 321 NA NA 8030 946 3042 NA NA 8553 1012 3568 NA NA
1560848400.0 1330.0 NA 100 320 0 NA NA 177 373 0 NA NA 1243 2974 1317 NA NA 1535 3112 1359 NA
1560848400.0 1331.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 1332.0 NA 99 299 0 NA NA 178 359 0 NA NA 1186 3890 1221 NA NA 1328 4158 1314 NA
1560848400.0 1333.0 NA 96 297 0 NA NA 176 354 0 NA NA 1105 3446 1617 NA NA 1634 3583 1727 NA
1560848400.0 1334.0 NA 91 NA NA NA NA 169 NA NA NA NA 570 NA NA NA NA 1026 NA NA NA
