Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566205200.0 121.0 103 103 278 NA NA NA 219 583 434 NA NA NA 5367 1118 3669 NA NA NA 3521 778 4635 NA NA NA
1566205200.0 122.0 50 0 0 NA NA NA 108 0 0 NA NA NA 895 286 1628 NA NA NA 1232 404 2310 NA NA NA
1566205200.0 123.1 328 NA NA NA NA NA 687 NA NA NA NA NA 1046 NA NA NA NA NA 1002 NA NA NA NA NA
1566205200.0 123.2 281 NA NA NA NA NA 683 NA NA NA NA NA 1290 NA NA NA NA NA 1485 NA NA NA NA NA
1566205200.0 123.3 236 NA NA NA NA NA 721 NA NA NA NA NA 878 NA NA NA NA NA 1180 NA NA NA NA NA
1566205200.0 124.1 297 NA NA NA NA NA 687 NA NA NA NA NA 947 NA NA NA NA NA 937 NA NA NA NA NA
1566205200.0 124.2 290 NA NA NA NA NA 719 NA NA NA NA NA 1114 NA NA NA NA NA 1509 NA NA NA NA NA
1566205200.0 124.4 302 NA NA NA NA NA 642 NA NA NA NA NA 1092 NA NA NA NA NA 1377 NA NA NA NA NA
1566205200.0 124.5 310 NA NA NA NA NA 678 NA NA NA NA NA 910 NA NA NA NA NA 1197 NA NA NA NA NA
1566205200.0 124.6 228 NA NA NA NA NA 718 NA NA NA NA NA 1026 NA NA NA NA NA 956 NA NA NA NA NA
1566205200.0 125.0 94 99 277 NA NA NA 213 552 433 NA NA NA 3713 1179 3579 NA NA NA 3085 1117 5060 NA NA NA
1566205200.0 126.0 64 91 273 NA NA NA 142 537 402 NA NA NA 2356 1067 3132 NA NA NA 2223 936 3680 NA NA NA
1566205200.0 127.0 62 96 277 NA NA NA 137 584 421 NA NA NA 1660 954 3352 NA NA NA 1980 910 4241 NA NA NA
1566205200.0 128.0 66 98 260 NA NA NA 132 538 412 NA NA NA 1692 957 3221 NA NA NA 1478 710 4337 NA NA NA
1566205200.0 129.0 62 96 259 NA NA NA 136 582 424 NA NA NA 1533 960 3134 NA NA NA 1447 871 3865 NA NA NA
1566205200.0 13.0 NA 103 285 0 NA NA NA 514 427 0 NA NA NA 1033 4807 1116 NA NA NA 1532 4777 1754 NA NA
1566205200.0 130.0 63 91 269 NA NA NA 139 507 423 NA NA NA 1134 1146 3141 NA NA NA 1683 975 3787 NA NA NA
1566205200.0 1301.0 91 142 228 NA NA NA 166 542 351 NA NA NA 2013 594 1321 NA NA NA 1433 775 1847 NA NA NA
1566205200.0 1301.17 69 150 201 NA NA NA 141 499 386 NA NA NA 3183 1221 2527 NA NA NA 2506 1092 3402 NA NA NA
1566205200.0 1302.0 86 138 239 NA NA NA 175 590 343 NA NA NA 2942 673 1349 NA NA NA 1837 688 1553 NA NA NA
1566205200.0 1302.17 73 155 210 NA NA NA 151 544 409 NA NA NA 7339 1268 2829 NA NA NA 4163 855 3658 NA NA NA
1566205200.0 1302.18 74 252 180 NA NA NA 151 579 372 NA NA NA 6514 2931 1390 NA NA NA 4086 2267 1592 NA NA NA
1566205200.0 1303.0 98 134 244 NA NA NA 183 543 356 NA NA NA 6385 1026 1920 NA NA NA 3499 862 2202 NA NA NA
1566205200.0 1303.17 84 167 251 NA NA NA 154 589 398 NA NA NA 7466 748 2112 NA NA NA 4948 623 2339 NA NA NA
1566205200.0 1306.0 NA 124 317 0 NA NA NA 561 474 0 NA NA NA 932 3440 1370 NA NA NA 741 4652 2091 NA NA
1566205200.0 1309.0 NA 138 336 0 NA NA NA 516 477 0 NA NA NA 1202 3832 1503 NA NA NA 1395 4285 1970 NA NA
1566205200.0 1310.0 NA 136 333 0 NA NA NA 518 461 0 NA NA NA 1211 3620 1474 NA NA NA 1016 3875 2295 NA NA
1566205200.0 1312.0 NA 129 348 0 NA NA NA 486 506 0 NA NA NA 1346 3902 1531 NA NA NA 1338 4854 2269 NA NA
1566205200.0 1314.0 NA 134 336 0 NA NA NA 563 486 0 NA NA NA 1146 3633 1532 NA NA NA 1320 4429 2222 NA NA
1566205200.0 1315.0 NA 132 328 0 NA NA NA 561 454 0 NA NA NA 1126 3522 1190 NA NA NA 1091 4514 1505 NA NA
1566205200.0 1317.0 NA 121 330 0 NA NA NA 560 490 0 NA NA NA 909 3532 1408 NA NA NA 991 4048 2111 NA NA
1566205200.0 1318.0 NA 135 334 0 NA NA NA 561 454 0 NA NA NA 914 3648 1220 NA NA NA 662 5076 1485 NA NA
1566205200.0 1319.0 NA 124 331 0 NA NA NA 561 476 0 NA NA NA 1119 3549 1440 NA NA NA 766 4132 2099 NA NA
1566205200.0 132.0 103 105 288 NA NA NA 212 583 413 NA NA NA 3194 761 2558 NA NA NA 2297 649 3203 NA NA NA
1566205200.0 1320.0 NA 125 325 0 NA NA NA 561 476 0 NA NA NA 1043 3519 1113 NA NA NA 938 4415 1334 NA NA
1566205200.0 1323.0 NA 125 317 0 NA NA NA 562 464 0 NA NA NA 1087 3380 1441 NA NA NA 854 4686 2176 NA NA
1566205200.0 1325.1 NA 148 175 0 NA NA NA 607 278 0 NA NA NA 504 653 271 NA NA NA 456 850 328 NA NA
1566205200.0 1325.2 NA 139 349 0 NA NA NA 563 499 0 NA NA NA 1195 3903 1376 NA NA NA 1590 4956 1691 NA NA
1566205200.0 1325.3 NA 148 168 0 NA NA NA 607 271 0 NA NA NA 561 643 263 NA NA NA 505 898 362 NA NA
1566205200.0 1325.5 NA 166 0 NA NA NA NA 270 0 NA NA NA NA 7277 293 NA NA NA NA 10572 703 NA NA NA
1566205200.0 1325.51 NA 156 0 NA NA NA NA 242 0 NA NA NA NA 3390 335 NA NA NA NA 5266 695 NA NA NA
1566205200.0 1325.6 NA 214 NA NA NA NA NA 321 NA NA NA NA NA 5168 NA NA NA NA NA 6017 NA NA NA NA
1566205200.0 1325.7 NA 192 0 NA NA NA NA 305 0 NA NA NA NA 7710 264 NA NA NA NA 7888 537 NA NA NA
1566205200.0 1325.8 NA 196 0 NA NA NA NA 302 0 NA NA NA NA 7426 278 NA NA NA NA 7804 673 NA NA NA
1566205200.0 1326.0 NA 130 330 0 NA NA NA 517 487 0 NA NA NA 1087 3577 1460 NA NA NA 1375 5178 1865 NA NA
1566205200.0 1328.0 NA 135 332 0 NA NA NA 518 464 0 NA NA NA 1079 3777 1331 NA NA NA 1204 4767 1824 NA NA
1566205200.0 1329.0 NA 138 332 0 NA NA NA 606 472 0 NA NA NA 864 3745 1529 NA NA NA 632 5284 2210 NA NA
