Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566162000.0 134.911 NA 34 337 0 NA NA NA 100 602 0 NA NA NA 435 9673 1090 NA NA NA 637 6798 1409 NA NA
1566162000.0 134.912 NA 34 298 0 NA NA NA 99 602 0 NA NA NA 384 7486 656 NA NA NA 337 5410 865 NA NA
1566162000.0 134.99602 NA 34 325 0 NA NA NA 99 585 0 NA NA NA 459 8907 1066 NA NA NA 600 6531 1369 NA NA
1566162000.0 134.99603 NA 36 332 0 NA NA NA 104 621 0 NA NA NA 378 12115 1332 NA NA NA 340 7642 1734 NA NA
1566162000.0 1341.0 NA 186 324 0 NA NA NA 529 607 0 NA NA NA 1477 4572 811 NA NA NA 670 4753 1014 NA NA
1566162000.0 1343.0 NA 172 317 0 NA NA NA 514 653 0 NA NA NA 1977 3792 823 NA NA NA 1266 5650 1051 NA NA
1566162000.0 1345.0 NA 171 313 0 NA NA NA 474 587 0 NA NA NA 2585 3576 779 NA NA NA 1224 3959 1017 NA NA
1566162000.0 1347.0 NA 164 303 0 NA NA NA 488 565 0 NA NA NA 2412 3440 820 NA NA NA 1630 4040 1124 NA NA
1566162000.0 1349.0 NA 163 310 0 NA NA NA 549 566 0 NA NA NA 2353 3384 901 NA NA NA 1899 4719 1452 NA NA
1566162000.0 135.1 312 0 125 NA NA NA 804 0 222 NA NA NA 3131 373 1158 NA NA NA 4417 427 1150 NA NA NA
1566162000.0 135.11 344 0 127 NA NA NA 805 0 226 NA NA NA 3116 432 1733 NA NA NA 4414 1360 2416 NA NA NA
1566162000.0 135.12 306 0 116 NA NA NA 856 0 214 NA NA NA 1337 277 627 NA NA NA 2263 735 1582 NA NA NA
1566162000.0 135.13 320 0 NA NA NA NA 865 0 NA NA NA NA 1410 295 NA NA NA NA 2111 479 NA NA NA NA
1566162000.0 135.2 263 0 122 NA NA NA 751 0 213 NA NA NA 1400 284 664 NA NA NA 4055 801 1536 NA NA NA
1566162000.0 135.3 270 0 112 NA NA NA 802 0 208 NA NA NA 2009 568 1251 NA NA NA 1658 1316 2235 NA NA NA
1566162000.0 135.4 302 0 115 NA NA NA 839 0 210 NA NA NA 1473 307 673 NA NA NA 2652 1036 985 NA NA NA
1566162000.0 135.5 314 0 119 NA NA NA 857 0 212 NA NA NA 1487 273 700 NA NA NA 3431 353 1791 NA NA NA
1566162000.0 135.6 310 0 131 NA NA NA 802 0 226 NA NA NA 3004 379 962 NA NA NA 4122 428 947 NA NA NA
1566162000.0 135.7 304 0 130 NA NA NA 778 0 224 NA NA NA 2802 367 1053 NA NA NA 4091 417 1313 NA NA NA
1566162000.0 135.8 140 NA NA NA NA NA 244 NA NA NA NA NA 493 NA NA NA NA NA 970 NA NA NA NA NA
1566162000.0 135.9 305 0 126 NA NA NA 857 0 214 NA NA NA 1398 283 675 NA NA NA 3366 376 1429 NA NA NA
1566162000.0 1350.0 NA 159 314 0 NA NA NA 524 612 0 NA NA NA 2248 2666 787 NA NA NA 1889 2815 924 NA NA
1566162000.0 1352.0 NA 158 297 0 NA NA NA 515 573 0 NA NA NA 1689 2116 598 NA NA NA 2680 4417 2031 NA NA
1566162000.0 1353.0 NA 173 317 0 NA NA NA 508 619 0 NA NA NA 1817 3775 806 NA NA NA 840 5955 1007 NA NA
1566162000.0 1354.0 NA 164 327 0 NA NA NA 496 676 0 NA NA NA 2562 3046 804 NA NA NA 1686 3277 1043 NA NA
1566162000.0 1355.0 NA 170 318 0 NA NA NA 490 587 0 NA NA NA 1580 3704 801 NA NA NA 1241 5650 1021 NA NA
1566162000.0 1356.0 88 173 353 0 138 NA 171 532 644 0 226 NA 3656 1156 2314 641 676 NA 1788 522 2267 690 769 NA
1566162000.0 136.728 NA 136 359 0 NA NA NA 287 722 0 NA NA NA 2989 9641 885 NA NA NA 5544 5898 1203 NA NA
1566162000.0 136.733 NA 155 64 0 NA NA NA 296 132 0 NA NA NA 1187 656 333 NA NA NA 1960 1317 792 NA NA
1566162000.0 136.735 NA 83 279 0 NA NA NA 169 521 0 NA NA NA 1094 4031 888 NA NA NA 1714 4361 1018 NA NA
1566162000.0 136.737 NA 94 336 0 NA NA NA 160 704 0 NA NA NA 768 20906 1027 NA NA NA 1170 10065 1176 NA NA
1566162000.0 136.738 NA 87 349 0 NA NA NA 163 645 0 NA NA NA 763 22107 1371 NA NA NA 537 10671 1474 NA NA
1566162000.0 136.739 NA 94 382 0 NA NA NA 161 735 0 NA NA NA 815 23481 1268 NA NA NA 1170 10731 1623 NA NA
1566162000.0 136.74 NA 93 423 0 NA NA NA 166 737 0 NA NA NA 887 21003 1132 NA NA NA 1421 9617 1450 NA NA
1566162000.0 136.743 NA 89 352 0 NA NA NA 161 617 0 NA NA NA 755 19783 1110 NA NA NA 494 9749 1283 NA NA
1566162000.0 136.744 NA 89 351 0 NA NA NA 160 725 0 NA NA NA 734 22412 1068 NA NA NA 547 10928 1162 NA NA
1566162000.0 136.746 NA 92 328 0 NA NA NA 163 716 0 NA NA NA 992 19513 1329 NA NA NA 1181 8302 1872 NA NA
1566162000.0 136.747 NA 93 365 0 NA NA NA 161 643 0 NA NA NA 790 14079 1202 NA NA NA 2034 7548 1808 NA NA
1566162000.0 136.748 NA 87 339 0 NA NA NA 161 629 0 NA NA NA 847 15081 809 NA NA NA 2467 8107 1125 NA NA
1566162000.0 136.749 NA 86 353 0 NA NA NA 164 661 0 NA NA NA 823 22089 1324 NA NA NA 714 9899 1441 NA NA
1566162000.0 136.751 NA 95 354 0 NA NA NA 164 691 0 NA NA NA 824 26309 1083 NA NA NA 989 11746 1187 NA NA
1566162000.0 136.752 NA 95 325 0 NA NA NA 168 616 0 NA NA NA 883 22122 1055 NA NA NA 1181 10854 1204 NA NA
1566162000.0 136.754 NA 90 366 0 NA NA NA 173 615 0 NA NA NA 857 13049 768 NA NA NA 1812 6375 1048 NA NA
1566162000.0 136.758 NA 88 371 0 NA NA NA 170 718 0 NA NA NA 682 23500 1281 NA NA NA 531 10107 1373 NA NA
1566162000.0 136.76 NA 79 365 0 NA NA NA 168 702 0 NA NA NA 780 18616 939 NA NA NA 1414 7012 1058 NA NA
1566162000.0 136.761 NA 81 362 0 NA NA NA 161 751 0 NA NA NA 699 19936 727 NA NA NA 1379 8128 1068 NA NA
1566162000.0 136.7611 NA 188 0 NA NA NA NA 305 0 NA NA NA NA 6643 377 NA NA NA NA 8849 1715 NA NA NA
1566162000.0 136.762 NA 81 365 0 NA NA NA 161 732 0 NA NA NA 696 22176 739 NA NA NA 1824 8682 1238 NA NA
1566162000.0 136.763 NA 93 339 0 NA NA NA 165 641 0 NA NA NA 947 30256 1204 NA NA NA 1722 14162 1836 NA NA
1566162000.0 136.764 NA 78 334 0 NA NA NA 156 699 0 NA NA NA 660 17905 808 NA NA NA 1591 7726 1562 NA NA
1566162000.0 136.766 NA 81 355 0 NA NA NA 158 757 0 NA NA NA 666 18164 812 NA NA NA 752 6603 1490 NA NA
1566162000.0 136.767 NA 86 354 0 NA NA NA 157 616 0 NA NA NA 838 15857 530 NA NA NA 2468 10151 827 NA NA
1566162000.0 136.768 NA 93 333 0 NA NA NA 164 692 0 NA NA NA 1013 26848 1392 NA NA NA 1738 14150 2455 NA NA
1566162000.0 136.769 NA 87 355 0 NA NA NA 159 644 0 NA NA NA 814 19296 1607 NA NA NA 599 9532 2523 NA NA
1566162000.0 136.771 NA 93 353 0 NA NA NA 162 671 0 NA NA NA 904 19608 1520 NA NA NA 1181 9956 2734 NA NA
1566162000.0 136.7721 NA 181 0 NA NA NA NA 308 0 NA NA NA NA 5806 310 NA NA NA NA 7585 1421 NA NA NA
1566162000.0 136.7722 NA 164 0 NA NA NA NA 272 0 NA NA NA NA 6749 406 NA NA NA NA 8439 1458 NA NA NA
1566162000.0 136.774 NA 96 339 0 NA NA NA 163 629 0 NA NA NA 841 18858 1081 NA NA NA 1178 9034 1191 NA NA
1566162000.0 136.776 NA 96 354 0 NA NA NA 160 616 0 NA NA NA 761 12544 811 NA NA NA 914 6750 1459 NA NA
1566162000.0 136.777 NA 88 393 0 NA NA NA 159 694 0 NA NA NA 838 16249 993 NA NA NA 2469 8605 1223 NA NA
