Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566079200.0 1301.17 60 202 201 NA NA NA NA 137 557 565 NA NA NA NA 1330 2784 1952 NA NA NA NA 2611 4371 3683 NA NA NA NA
1566079200.0 1302.17 66 209 213 NA NA NA NA 144 536 579 NA NA NA NA 3453 2889 2054 NA NA NA NA 4357 1947 4654 NA NA NA NA
1566079200.0 1302.18 63 200 176 NA NA NA NA 145 493 544 NA NA NA NA 3325 2752 1715 NA NA NA NA 2985 2814 3505 NA NA NA NA
1566079200.0 1303.0 71 162 211 NA NA NA NA 149 473 584 NA NA NA NA 6091 1585 2162 NA NA NA NA 3046 1171 1964 NA NA NA NA
1566079200.0 1303.17 74 221 260 NA NA NA NA 156 564 530 NA NA NA NA 5852 2229 2746 NA NA NA NA 4057 1130 3366 NA NA NA NA
1566079200.0 13034.0 NA 540 796 0 149 NA NA NA 1047 1173 0 284 NA NA NA 9706 10338 2573 1181 NA NA NA 4557 4806 2642 1458 NA NA
1566079200.0 1304.18 61 200 177 126 NA NA NA 146 522 506 224 NA NA NA 2355 2500 1260 815 NA NA NA 1010 968 1254 849 NA NA NA
1566079200.0 1304.181 65 199 177 123 NA NA NA 141 559 538 233 NA NA NA 2232 2504 1296 823 NA NA NA 1073 953 1290 845 NA NA NA
1566079200.0 1307.0 NA 154 174 43 0 NA NA NA 509 275 104 0 NA NA NA 1380 802 256 313 NA NA NA 615 711 291 350 NA NA
1566079200.0 1308.0 NA 149 169 43 0 NA NA NA 509 276 99 0 NA NA NA 1370 719 213 309 NA NA NA 641 665 251 351 NA NA
1566079200.0 131.0 61 105 267 NA NA NA NA 134 452 595 NA NA NA NA 1061 562 1967 NA NA NA NA 1556 678 2235 NA NA NA NA
1566079200.0 1310.0 NA 165 306 0 NA NA NA NA 536 635 0 NA NA NA NA 1642 2505 868 NA NA NA NA 1692 2737 1038 NA NA NA
1566079200.0 1311.0 NA 160 316 0 61 NA NA NA 511 652 0 131 NA NA NA 1389 1697 942 455 NA NA NA 639 1767 996 457 NA NA
1566079200.0 1312.0 NA 161 310 0 NA NA NA NA 499 674 0 NA NA NA NA 1703 2540 870 NA NA NA NA 1238 2547 1356 NA NA NA
1566079200.0 1313.0 NA 166 320 0 NA NA NA NA 505 613 0 NA NA NA NA 1541 2746 852 NA NA NA NA 1950 3855 928 NA NA NA
1566079200.0 1314.0 NA 161 312 0 NA NA NA NA 526 638 0 NA NA NA NA 1679 2494 879 NA NA NA NA 1141 2675 1274 NA NA NA
1566079200.0 1315.0 NA 155 299 0 NA NA NA NA 494 612 0 NA NA NA NA 1617 2259 780 NA NA NA NA 1211 2584 912 NA NA NA
1566079200.0 1316.0 NA 152 301 0 NA NA NA NA 504 654 0 NA NA NA NA 1576 2328 791 NA NA NA NA 1712 2626 932 NA NA NA
1566079200.0 1317.0 NA 164 311 0 NA NA NA NA 526 571 0 NA NA NA NA 1152 2712 742 NA NA NA NA 1060 3901 1395 NA NA NA
1566079200.0 1318.0 NA 152 294 0 NA NA NA NA 525 617 0 NA NA NA NA 1553 2298 779 NA NA NA NA 1655 3432 1434 NA NA NA
1566079200.0 1319.0 NA 154 298 0 NA NA NA NA 516 562 0 NA NA NA NA 1541 2255 772 NA NA NA NA 1156 3030 1337 NA NA NA
1566079200.0 132.0 70 104 269 NA NA NA NA 183 418 639 NA NA NA NA 2835 673 2423 NA NA NA NA 1543 1079 2609 NA NA NA NA
