Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566162000.0 1325.4 NA 176 322 0 NA NA 482 634 0 NA NA 990 2371 890 NA NA 989 2709 1516 NA
1566162000.0 1325.5 NA 161 0 NA NA NA 282 0 NA NA NA 5180 222 NA NA NA 8139 709 NA NA
1566162000.0 1325.51 NA 159 0 NA NA NA 272 0 NA NA NA 2359 260 NA NA NA 6510 1323 NA NA
1566162000.0 1325.6 NA 180 NA NA NA NA 356 NA NA NA NA 4428 NA NA NA NA 7396 NA NA NA
1566162000.0 1325.7 NA 182 0 NA NA NA 333 0 NA NA NA 4888 179 NA NA NA 5835 431 NA NA
1566162000.0 1325.8 NA 183 0 NA NA NA 334 0 NA NA NA 4907 218 NA NA NA 5146 914 NA NA
1566162000.0 1326.0 NA 162 299 0 NA NA 507 572 0 NA NA 1709 2569 874 NA NA 1759 4484 1138 NA
1566162000.0 1327.0 NA 160 301 0 NA NA 484 604 0 NA NA 1767 2395 886 NA NA 2219 3557 1353 NA
1566162000.0 1328.0 NA 165 305 0 NA NA 540 553 0 NA NA 1872 2634 895 NA NA 3455 4076 1211 NA
1566162000.0 1329.0 NA 172 318 0 NA NA 478 668 0 NA NA 972 2220 846 NA NA 1228 2412 1124 NA
1566162000.0 1329.1 NA 167 0 NA NA NA 299 0 NA NA NA 6207 187 NA NA NA 8642 576 NA NA
1566162000.0 133.0 86 116 269 NA NA 193 344 569 NA NA 3693 636 2533 NA NA 2084 1191 2789 NA NA
1566162000.0 1331.0 NA 162 303 0 NA NA 478 620 0 NA NA 1709 2561 873 NA NA 1694 4299 1418 NA
1566162000.0 1332.0 NA 163 301 0 NA NA 485 623 0 NA NA 1678 2574 893 NA NA 2175 3296 1261 NA
1566162000.0 1333.0 NA 160 296 0 NA NA 534 648 0 NA NA 1794 2531 870 NA NA 1738 4005 1227 NA
1566162000.0 1334.0 NA 165 304 0 NA NA 482 586 0 NA NA 1971 2710 962 NA NA 1697 6741 1722 NA
1566162000.0 1335.0 NA 161 296 0 NA NA 493 614 0 NA NA 1741 2518 905 NA NA 1638 3302 1713 NA
1566162000.0 1336.0 NA 167 321 0 NA NA 481 627 0 NA NA 1864 3385 956 NA NA 2705 4069 1744 NA
1566162000.0 1337.0 NA 176 322 0 NA NA 487 586 0 NA NA 1947 3174 979 NA NA 1384 3239 2142 NA
1566162000.0 1338.0 NA 164 309 0 NA NA 525 558 0 NA NA 1906 2645 938 NA NA 2106 3036 1438 NA
1566162000.0 134.705 NA 42 339 0 NA NA 105 706 0 NA NA 300 7746 1053 NA NA 532 4180 1558 NA
1566162000.0 134.707 NA 30 331 0 NA NA 102 594 0 NA NA 347 7528 1037 NA NA 965 6825 2264 NA
