Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1566079200.0 5.2 230 0 NA NA NA NA NA NA NA 683 0 NA NA NA NA NA NA NA 1133 297 NA NA NA NA NA NA NA 2137 745 NA NA NA NA NA NA NA
1566079200.0 5.3 228 0 NA NA NA NA NA NA NA 690 0 NA NA NA NA NA NA NA 1150 303 NA NA NA NA NA NA NA 2680 736 NA NA NA NA NA NA NA
1566079200.0 5.6 296 0 NA NA NA NA NA NA NA 719 0 NA NA NA NA NA NA NA 1290 337 NA NA NA NA NA NA NA 2564 945 NA NA NA NA NA NA NA
1566079200.0 5.7 279 0 NA NA NA NA NA NA NA 686 0 NA NA NA NA NA NA NA 1199 289 NA NA NA NA NA NA NA 4065 888 NA NA NA NA NA NA NA
1566079200.0 500203.0 NA 199 351 0 NA NA NA NA NA NA 620 477 0 NA NA NA NA NA NA 7056 3248 642 NA NA NA NA NA NA 5647 4981 1226 NA NA NA NA NA
1566079200.0 503.0 42 0 NA NA NA NA NA NA NA 85 0 NA NA NA NA NA NA NA 240 160 NA NA NA NA NA NA NA 691 789 NA NA NA NA NA NA NA
1566079200.0 504.0 42 0 NA NA NA NA NA NA NA 86 0 NA NA NA NA NA NA NA 217 171 NA NA NA NA NA NA NA 1894 987 NA NA NA NA NA NA NA
1566079200.0 505.0 40 0 NA NA NA NA NA NA NA 87 0 NA NA NA NA NA NA NA 198 156 NA NA NA NA NA NA NA 801 471 NA NA NA NA NA NA NA
1566079200.0 506.0 43 0 NA NA NA NA NA NA NA 88 0 NA NA NA NA NA NA NA 197 156 NA NA NA NA NA NA NA 796 472 NA NA NA NA NA NA NA
1566079200.0 507.0 42 0 NA NA NA NA NA NA NA 87 0 NA NA NA NA NA NA NA 279 155 NA NA NA NA NA NA NA 790 436 NA NA NA NA NA NA NA
1566079200.0 508.0 42 0 NA NA NA NA NA NA NA 88 0 NA NA NA NA NA NA NA 204 153 NA NA NA NA NA NA NA 578 533 NA NA NA NA NA NA NA
1566079200.0 509.0 35 0 NA NA NA NA NA NA NA 85 0 NA NA NA NA NA NA NA 199 173 NA NA NA NA NA NA NA 1014 693 NA NA NA NA NA NA NA
1566079200.0 510.0 36 0 NA NA NA NA NA NA NA 87 0 NA NA NA NA NA NA NA 293 157 NA NA NA NA NA NA NA 991 619 NA NA NA NA NA NA NA
1566079200.0 511.0 47 0 NA NA NA NA NA NA NA 92 0 NA NA NA NA NA NA NA 10120 156 NA NA NA NA NA NA NA 14111 447 NA NA NA NA NA NA NA
1566079200.0 514.0 20 44 0 NA NA NA NA NA NA 68 94 0 NA NA NA NA NA NA 378 220 158 NA NA NA NA NA NA 2003 1138 449 NA NA NA NA NA NA
1566079200.0 517.0 19 38 0 NA NA NA NA NA NA 64 93 0 NA NA NA NA NA NA 907 209 159 NA NA NA NA NA NA 2703 693 566 NA NA NA NA NA NA
1566079200.0 520.0 19 46 0 NA NA NA NA NA NA 68 92 0 NA NA NA NA NA NA 908 224 167 NA NA NA NA NA NA 2179 1272 634 NA NA NA NA NA NA
1566079200.0 523.0 19 55 0 NA NA NA NA NA NA 64 109 0 NA NA NA NA NA NA 1035 249 156 NA NA NA NA NA NA 2078 718 432 NA NA NA NA NA NA
1566079200.0 524.0 19 43 0 NA NA NA NA NA NA 66 93 0 NA NA NA NA NA NA 1901 222 162 NA NA NA NA NA NA 1837 1149 994 NA NA NA NA NA NA
1566079200.0 527.0 19 45 0 NA NA NA NA NA NA 64 93 0 NA NA NA NA NA NA 900 200 156 NA NA NA NA NA NA 1823 526 446 NA NA NA NA NA NA
1566079200.0 530.0 19 43 0 NA NA NA NA NA NA 64 93 0 NA NA NA NA NA NA 877 215 167 NA NA NA NA NA NA 1482 993 658 NA NA NA NA NA NA
1566079200.0 531.0 53 0 NA NA NA NA NA NA NA 195 0 NA NA NA NA NA NA NA 204 157 NA NA NA NA NA NA NA 821 529 NA NA NA NA NA NA NA
1566079200.0 534.0 41 0 NA NA NA NA NA NA NA 104 0 NA NA NA NA NA NA NA 422 171 NA NA NA NA NA NA NA 1328 930 NA NA NA NA NA NA NA
1566079200.0 535.0 41 0 NA NA NA NA NA NA NA 92 0 NA NA NA NA NA NA NA 709 151 NA NA NA NA NA NA NA 1992 499 NA NA NA NA NA NA NA
1566079200.0 541.0 52 0 NA NA NA NA NA NA NA 99 0 NA NA NA NA NA NA NA 213 162 NA NA NA NA NA NA NA 807 606 NA NA NA NA NA NA NA
1566079200.0 545.0 50 0 NA NA NA NA NA NA NA 96 0 NA NA NA NA NA NA NA 269 164 NA NA NA NA NA NA NA 1081 681 NA NA NA NA NA NA NA
1566079200.0 551.0 19 46 0 NA NA NA NA NA NA 64 94 0 NA NA NA NA NA NA 1004 246 161 NA NA NA NA NA NA 1268 899 536 NA NA NA NA NA NA
1566079200.0 552.0 19 39 0 NA NA NA NA NA NA 64 93 0 NA NA NA NA NA NA 908 212 151 NA NA NA NA NA NA 2051 1270 377 NA NA NA NA NA NA
1566079200.0 554.0 19 39 0 NA NA NA NA NA NA 64 94 0 NA NA NA NA NA NA 1598 224 167 NA NA NA NA NA NA 3744 1151 695 NA NA NA NA NA NA
1566079200.0 555.0 19 38 0 NA NA NA NA NA NA 64 91 0 NA NA NA NA NA NA 1109 219 165 NA NA NA NA NA NA 3374 1283 682 NA NA NA NA NA NA
1566079200.0 556.0 19 45 0 NA NA NA NA NA NA 68 94 0 NA NA NA NA NA NA 339 219 148 NA NA NA NA NA NA 1276 606 347 NA NA NA NA NA NA
1566079200.0 560.0 45 0 NA NA NA NA NA NA NA 87 0 NA NA NA NA NA NA NA 189 169 NA NA NA NA NA NA NA 566 740 NA NA NA NA NA NA NA
1566079200.0 561.0 42 0 NA NA NA NA NA NA NA 87 0 NA NA NA NA NA NA NA 205 157 NA NA NA NA NA NA NA 630 424 NA NA NA NA NA NA NA
1566079200.0 562.0 19 44 0 NA NA NA NA NA NA 68 94 0 NA NA NA NA NA NA 287 214 146 NA NA NA NA NA NA 1708 618 333 NA NA NA NA NA NA
